placement_file,placement_basename,seedBase,run_mode,patch_xy_um,micro_thickness_um,bn_wt,zns_wt,incident_count,capture_count,total_track_length_um,sigma_eff_per_um,sigma_eff_per_cm,capture_probability
"/home/ubuntu/geant4_work/B2/Input/placements/2-1/placement_f_0.64_0038.csv","placement_f_0.64_0038.csv",327198891,StageA_NeutronPatch,50,30,2,1,100000,6216,2.90693e+06,0.00213834,21.3834,0.06216
"/home/ubuntu/geant4_work/B2/Input/placements/2-1/placement_f_0.64_0039.csv","placement_f_0.64_0039.csv",1231053586,StageA_NeutronPatch,50,30,2,1,100000,5993,2.91055e+06,0.00205906,20.5906,0.05993
"/home/ubuntu/geant4_work/B2/Input/placements/2-1/placement_f_0.64_0040.csv","placement_f_0.64_0040.csv",570831787,StageA_NeutronPatch,50,30,2,1,100000,5937,2.90934e+06,0.00204067,20.4067,0.05937
"/home/ubuntu/geant4_work/B2/Input/placements/2-1/placement_f_0.64_0041.csv","placement_f_0.64_0041.csv",149223900,StageA_NeutronPatch,50,30,2,1,100000,5955,2.91041e+06,0.00204611,20.4611,0.05955
"/home/ubuntu/geant4_work/B2/Input/placements/2-1/placement_f_0.64_0042.csv","placement_f_0.64_0042.csv",713731682,StageA_NeutronPatch,50,30,2,1,100000,6041,2.90968e+06,0.00207617,20.7617,0.06041
"/home/ubuntu/geant4_work/B2/Input/placements/2-1/placement_f_0.64_0043.csv","placement_f_0.64_0043.csv",1234906170,StageA_NeutronPatch,50,30,2,1,100000,6066,2.90852e+06,0.00208559,20.8559,0.06066
"/home/ubuntu/geant4_work/B2/Input/placements/2-1/placement_f_0.64_0044.csv","placement_f_0.64_0044.csv",751999803,StageA_NeutronPatch,50,30,2,1,100000,6161,2.90671e+06,0.00211958,21.1958,0.06161
"/home/ubuntu/geant4_work/B2/Input/placements/2-1/placement_f_0.64_0045.csv","placement_f_0.64_0045.csv",1567071262,StageA_NeutronPatch,50,30,2,1,100000,6124,2.90805e+06,0.00210588,21.0588,0.06124
"/home/ubuntu/geant4_work/B2/Input/placements/2-1/placement_f_0.64_0046.csv","placement_f_0.64_0046.csv",1008018330,StageA_NeutronPatch,50,30,2,1,100000,6100,2.90983e+06,0.00209634,20.9634,0.061
"/home/ubuntu/geant4_work/B2/Input/placements/2-1/placement_f_0.64_0047.csv","placement_f_0.64_0047.csv",1487415306,StageA_NeutronPatch,50,30,2,1,100000,6148,2.90746e+06,0.00211456,21.1456,0.06148
"/home/ubuntu/geant4_work/B2/Input/placements/2-1/placement_f_0.64_0048.csv","placement_f_0.64_0048.csv",1009813315,StageA_NeutronPatch,50,30,2,1,100000,6031,2.90922e+06,0.00207306,20.7306,0.06031
"/home/ubuntu/geant4_work/B2/Input/placements/2-1/placement_f_0.64_0049.csv","placement_f_0.64_0049.csv",1705129569,StageA_NeutronPatch,50,30,2,1,100000,6168,2.90737e+06,0.00212151,21.2151,0.06168
